"Review","FinancialYear","HBR","CA","MotherAgeGroup","ValidReviews","CurrentFeedingExclusiveBreast","CurrentFeedingMixed","CurrentFeedingFormula","CurrentFeedingOther","CurrentFeedingCowsMilk","CurrentFeedingOverallBreast","EverBreastfed","ExclusivelyBreastfedSinceBirth"
"First Visit","2023/24","RA2704","RA2704","under 20",1,0,0,1,0,0,0,0,0
"First Visit","2023/24","RA2704","RA2704","20-24",7,1,1,5,0,0,2,2,1
"First Visit","2023/24","RA2704","RA2704","25-29",7,5,1,1,0,0,6,6,4
"First Visit","2023/24","RA2704","RA2704","30-34",7,5,2,0,0,0,7,7,5
"First Visit","2023/24","RA2704","RA2704","35-39",8,3,2,3,0,0,5,6,3
"First Visit","2023/24","RA2704","RA2704","40 and over",3,2,0,1,0,0,2,3,2
"First Visit","2023/24","S08000015","S12000008","under 20",23,2,4,17,0,0,6,7,2
"First Visit","2023/24","S08000015","S12000008","20-24",160,26,22,112,0,0,48,63,26
"First Visit","2023/24","S08000015","S12000008","25-29",271,73,35,162,1,0,108,141,65
"First Visit","2023/24","S08000015","S12000008","30-34",332,102,45,185,0,0,147,187,88
"First Visit","2023/24","S08000015","S12000008","35-39",176,58,39,79,0,0,97,120,49
"First Visit","2023/24","S08000015","S12000008","40 and over",15,4,5,6,0,0,9,10,4
"First Visit","2023/24","S08000015","S12000008","Invalid or missing",4,1,0,3,0,0,1,1,1
"First Visit","2023/24","S08000015","S12000021","under 20",33,4,4,25,0,0,8,11,4
"First Visit","2023/24","S08000015","S12000021","20-24",130,22,15,93,0,0,37,53,21
"First Visit","2023/24","S08000015","S12000021","25-29",293,94,41,158,0,0,135,178,88
"First Visit","2023/24","S08000015","S12000021","30-34",297,102,43,152,0,0,145,191,92
"First Visit","2023/24","S08000015","S12000021","35-39",138,48,22,68,0,0,70,93,45
"First Visit","2023/24","S08000015","S12000021","40 and over",35,12,9,14,0,0,21,25,12
"First Visit","2023/24","S08000015","S12000021","Invalid or missing",2,1,0,1,0,0,1,2,1
"First Visit","2023/24","S08000015","S12000028","under 20",21,3,2,16,0,0,5,9,3
"First Visit","2023/24","S08000015","S12000028","20-24",96,19,12,65,0,0,31,39,17
"First Visit","2023/24","S08000015","S12000028","25-29",182,65,20,97,0,0,85,103,58
"First Visit","2023/24","S08000015","S12000028","30-34",273,98,51,124,0,0,149,175,94
"First Visit","2023/24","S08000015","S12000028","35-39",169,73,26,70,0,0,99,115,71
"First Visit","2023/24","S08000015","S12000028","40 and over",27,10,8,9,0,0,18,20,10
"First Visit","2023/24","S08000016","S12000026","under 20",16,6,2,8,0,0,8,12,6
